Muni_ID,ID,Muni,tot_input,tot_output,gnb
412,1180412,Vinhais,76.80023,25.9,50
101,1610101,�gueda,281.559945167923,124.2,157
102,1610102,Albergaria-a-Velha,286.542231213873,175.7,110
103,1610103,Anadia,112.536626091508,46.8,65
105,1610105,Aveiro,211.451499297036,127,84
108,1610108,Estarreja,494.256239076155,323.3,170
110,1610110,�lhavo,366.415102317597,143.5,222
111,1610111,Mealhada,243.354911059551,51.7,191
112,1610112,Murtosa,310.377090342679,296.2,14
114,1610114,Oliveira do Bairro,188.802507862041,85.4,103
115,1610115,Ovar,548.871354736842,434,114
117,1610117,Sever do Vouga,507.302839912281,193.8,313
118,1610118,Vagos,311.625684600057,218.9,92
602,1620602,Cantanhede,194.115185491493,152.1,42
603,1620603,Coimbra,199.873977406038,59.1,140
604,1620604,Condeixa-a-Nova,166.746408943062,55.1,111
605,1620605,Figueira da Foz,323.986609484156,168.3,155
608,1620608,Mira,293.5,206.1,87
610,1620610,Montemor-o-Velho,234.60142,182,52
613,1620613,Penacova,184.54898,56.3,128
615,1620615,Soure,264.719748898123,64.8,199
1004,1631004,Batalha,310.917816307404,57.9,253
1009,1631009,Leiria,441.43604,83.3,358
1010,1631010,Marinha Grande,446.5,87.4,359
1015,1631015,Pombal,242.074442239433,64.1,177
1016,1631016,Porto de M�s,153.8,98.8,55
1002,1641002,Alvai�zere,131.4,46.1,85
1003,1641003,Ansi�o,159.14549,50.6,108
601,1640601,Arganil,278.676513879923,52.3,226
1007,1641007,Castanheira de P�ra,251.867325581395,42.9,208
1008,1641008,Figueir� dos Vinhos,136.316194690266,43.2,93
606,1640606,G�is,131.9,38,93
607,1640607,Lous�,144.26487,43.9,100
609,1640609,Miranda do Corvo,232.207638190955,40.2,192
611,1640611,Oliveira do Hospital,130.972650468004,41.6,89
612,1640612,Pampilhosa da Serra,122.4,41.6,80
1013,1641013,Pedr�g�o Grande,158.650048859935,52.2,106
614,1640614,Penela,115.6,40.5,75
616,1640616,T�bua,164.723330361124,59.3,105
617,1640617,Vila Nova de Poiares,145.8,45,100
901,1650901,Aguiar da Beira,138.7,66.4,72
1802,1651802,Carregal do Sal,162.5,44.7,117
1803,1651803,Castro Daire,154.4,82.2,72
1806,1651806,Mangualde,126.8,42.3,84
1808,1651808,Mort�gua,461.6,89.4,372
1809,1651809,Nelas,94.7,31.1,63
1810,1651810,Oliveira de Frades,758.7,147.3,611
1811,1651811,Penalva do Castelo,112.9,38.9,74
1814,1651814,Santa Comba D�o,436.70902,50.7,386
1816,1651816,S�o Pedro do Sul,247.63622,115.4,132
1817,1651817,S�t�o,165.3,65.5,99
1821,1651821,Tondela,274.82056,60,214
1822,1651822,Vila Nova de Paiva,165.8,73.4,92
1823,1651823,Viseu,142.50449,49.3,93
1824,1651824,Vouzela,367,104.9,262
1413,1661413,Ma��o,87.1,28.9,58
506,1660506,Oleiros,65.2,23.5,41
508,1660508,Proen�a-a-Nova,87.5,32.2,55
509,1660509,Sert�,117.9,45.9,72
510,1660510,Vila de Rei,104.7,28.3,76
905,1670905,Fornos de Algodres,87.1,36.8,50
906,1670906,Gouveia,43.6,20.5,23
912,1670912,Seia,82.6,30.3,52
902,1680902,Almeida,37.60132,24.7,12
903,1680903,Celorico da Beira,57.4,26.6,30
904,1680904,Figueira de Castelo Rodrigo,42.30004,17.3,25
907,1680907,Guarda,52.97385,33,19
908,1680908,Manteigas,37.2,20.3,16
909,1680909,M�da,58.9,18.5,40
910,1680910,Pinhel,41.8021,22.3,19
911,1680911,Sabugal,44.10122,29.9,14
913,1680913,Trancoso,64.8,34.7,30
502,1690502,Castelo Branco,44.8,17.4,27
505,1690505,Idanha-a-Nova,42.5,17.3,25
507,1690507,Penamacor,65.4,25.8,39
511,1690511,Vila Velha de R�d�o,67.2,19.2,48
501,16A0501,Belmonte,73.8006,33.9,39
503,16A0503,Covilh�,81.40014,39.3,42
504,16A0504,Fund�o,85.12236,32.1,53
1001,16B1001,Alcoba�a,279.20131,48,231
1101,16B1101,Alenquer,203.75949,28.8,174
1102,16B1102,Arruda dos Vinhos,132.60131,37.3,95
1005,16B1005,Bombarral,88.50131,17.4,71
1104,16B1104,Cadaval,110.40131,33.1,77
1006,16B1006,Caldas da Rainha,275.22631,41.9,233
1108,16B1108,Lourinh�,272.98705,52.9,220
1011,16B1011,Nazar�,260.00085,104.6,155
1012,16B1012,�bidos,123.05829,28.2,94
1014,16B1014,Peniche,259.135622160868,58,201
1112,16B1112,Sobral de Monte Agra�o,199.605583049645,81.7,117
1113,16B1113,Torres Vedras,161.19041,48.4,112
1401,16C1401,Abrantes,106.86992,33.5,73
1402,16C1402,Alcanena,127.10131,64.1,63
1408,16C1408,Const�ncia,118.90131,32.2,86
1410,16C1410,Entroncamento,175.408923636364,44.2,131
1411,16C1411,Ferreira do Z�zere,284.40131,20.9,263
1421,16C1421,Our�m,224.69349,45.1,179
1417,16C1417,Sardoal,95.10131,22.8,72
1418,16C1418,Tomar,146.120780101215,36.2,109
1419,16C1419,Torres Novas,131.20131,42.1,89
1420,16C1420,Vila Nova da Barquinha,109.40131,25.2,84
1115,1711115,Amadora,33.10131,30.8,2
1105,1711105,Cascais,293.15496,33.8,259
1106,1711106,Lisboa,0,0,0
1107,1711107,Loures,154.22435,50.5,103
1109,1711109,Mafra,263.53665,81.6,181
1116,1711116,Odivelas,270.50131,236.8,33
1110,1711110,Oeiras,123.156045854342,12.1,111
1111,1711111,Sintra,165.497811215073,53.4,112
1114,1711114,Vila Franca de Xira,178.381183265306,67.7,110
1502,1721502,Alcochete,106.70131,34.5,72
1503,1721503,Almada,237.809032565056,90.3,147
1504,1721504,Barreiro,178.138571410788,95.9,82
1506,1721506,Moita,386.363731107087,297.2,89
1507,1721507,Montijo,110.50542,37.6,72
1508,1721508,Palmela,117.60319,42.6,75
1510,1721510,Seixal,119.24828,26.7,92
1511,1721511,Sesimbra,99.66755,37.1,62
1512,1721512,Set�bal,99.4396929924303,31.5,67
1501,1811501,Alc�cer do Sal,58.5200343885799,25.7,32
1505,1811505,Gr�ndola,41.4777816727815,16.3,25
211,1810211,Odemira,61,31.1,29
1509,1811509,Santiago do Cac�m,69.8888455284553,25.7,44
1513,1811513,Sines,54.35056,29.5,24
1201,1821201,Alter do Ch�o,61,29,32
1202,1821202,Arronches,63.4616121486342,34.5,28
1203,1821203,Avis,60.9,24.8,36
1204,1821204,Campo Maior,77.3554962773273,28.8,48
1205,1821205,Castelo de Vide,50.40838,19.2,31
1206,1821206,Crato,61.10278,29.3,31
1207,1821207,Elvas,77.4944689576593,35.1,42
1208,1821208,Fronteira,73.9877109787617,33.9,40
1209,1821209,Gavi�o,108.666103782076,13.8,94
1210,1821210,Marv�o,62.8204573012232,23.9,38
1211,1821211,Monforte,60.1543575611437,33.4,26
707,1820707,Mora,52.3,20.5,31
1212,1821212,Nisa,62.91616,21.6,41
1213,1821213,Ponte de Sor,50.50143,15.6,34
1214,1821214,Portalegre,67.3991268545954,32.8,34
701,1830701,Alandroal,57.6,29.5,28
702,1830702,Arraiolos,64.7,28.6,36
703,1830703,Borba,73,36.5,36
704,1830704,Estremoz,60.5,29.4,31
705,1830705,�vora,64.6326062411504,28.1,36
706,1830706,Montemor-o-Novo,68.70054,33.4,35
708,1830708,Mour�o,40.2,23.4,16
709,1830709,Portel,50.86303,21.1,29
710,1830710,Redondo,65.8,34.4,31
711,1830711,Reguengos de Monsaraz,58.8,22.4,36
1215,1831215,Sousel,75.40376,30.4,45
712,1830712,Vendas Novas,50.4,22.1,28
713,1830713,Viana do Alentejo,60.7,34.1,26
714,1830714,Vila Vi�osa,85.90024,35.2,50
201,1840201,Aljustrel,92.8,35.7,57
202,1840202,Almod�var,48,18.3,29
203,1840203,Alvito,60.90033,28.6,32
204,1840204,Barrancos,36.9,18.8,18
205,1840205,Beja,83.6215109501565,25.7,57
206,1840206,Castro Verde,47.46503,23.9,23
207,1840207,Cuba,105.8,58.8,46
208,1840208,Ferreira do Alentejo,89.2610745672711,33.1,56
209,1840209,M�rtola,36.4147254065418,16.6,19
210,1840210,Moura,59.1247157035794,21,38
212,1840212,Ourique,52.1546654619591,23.7,28
213,1840213,Serpa,70.3,22.6,47
214,1840214,Vidigueira,65.5715994053026,22.8,42
1403,1851403,Almeirim,113.071321812663,33.5,79
1404,1851404,Alpiar�a,122.20131,38,84
1103,1851103,Azambuja,203.71771,51.7,152
1405,1851405,Benavente,101.72678,45.2,56
1406,1851406,Cartaxo,207.920855510836,72.5,135
1407,1851407,Chamusca,80.367053619521,36.2,44
1409,1851409,Coruche,53.80655,28.3,25
1412,1851412,Goleg�,230.71493,89.9,140
1414,1851414,Rio Maior,302.50131,43,259
1415,1851415,Salvaterra de Magos,153.80158,57.1,96
1416,1851416,Santar�m,184.18188,62.3,121
801,1500801,Albufeira,120.94212,16.8,104
802,1500802,Alcoutim,79.7,16.8,62
803,1500803,Aljezur,100.87271,40.6,60
804,1500804,Castro Marim,94.4,19.9,74
805,1500805,Faro,151.5,19.5,132
806,1500806,Lagoa,76.47499,19.5,56
807,1500807,Lagos,130.45006,41.6,88
808,1500808,Loul�,118.13452,17.2,100
809,1500809,Monchique,118.2,30.6,87
810,1500810,Olh�o,137.13031,21,116
811,1500811,Portim�o,126.7,25.2,101
812,1500812,S�o Br�s de Alportel,96.9922281735404,18.4,78
813,1500813,Silves,124.38727,22.9,101
814,1500814,Tavira,101.918390831974,15.9,86
815,1500815,Vila do Bispo,84.54057,44.1,40
816,1500816,Vila Real de Santo Ant�nio,87.7,21,66
